CASRN,Chemical Name,De Minimis,Category Description,Category Member,Additional Information
608-93-5,Pentachlorobenzene,*,,,
76-01-7,Pentachloroethane,1.0,,,
87-86-5,Pentachlorophenol,0.1,,,
57-33-0,Pentobarbital sodium,1.0,,,
79-21-0,Peracetic acid,1.0,,,
594-42-3,Perchloromethyl mercaptan,1.0,,,
52645-53-1,Permethrin,1.0,,,
85-01-8,Phenanthrene,1.0,,,
108-95-2,Phenol,1.0,,,
77-09-8,"Phenolphthalein (3,3-Bis(4-hydroxyphenyl)phthalide)",0.1,,,
26002-80-2,Phenothrin,1.0,,,
95-54-5,"1,2-Phenylenediamine",0.1,,,
108-45-2,"1,3-Phenylenediamine",1.0,,,
106-50-3,p-Phenylenediamine,1.0,,,
615-28-1,"1,2-Phenylenediamine dihydrochloride",0.1,,,
624-18-0,"1,4-Phenylenediamine dihydrochloride",1.0,,,
90-43-7,2-Phenylphenol,1.0,,,
57-41-0,Phenytoin,0.1,,,
75-44-5,Phosgene,1.0,,,
7803-51-2,Phosphine,1.0,,,
12185-10-3,Phosphorus (yellow or white),1.0,,,Chemical qualifier: Reportable only in yellow or white form.
85-44-9,Phthalic anhydride,1.0,,,
1918-02-1,Picloram,1.0,,,
88-89-1,Picric acid,1.0,,,
51-03-6,Piperonyl butoxide,1.0,,,
29232-93-7,Pirimiphos-methyl,1.0,,,
1336-36-3,Polychlorinated biphenyls,*,,,
7758-01-2,Potassium bromate,0.1,,,
128-03-0,Potassium dimethyldithiocarbamate,1.0,,,
137-41-7,Potassium N-methyldithiocarbamate,1.0,,,
41198-08-7,Profenofos,1.0,,,
7287-19-6,Prometryn,1.0,,,
23950-58-5,Pronamide,1.0,,,
1918-16-7,Propachlor,1.0,,,
1120-71-4,"1,3-Propane sultone",0.1,,,
709-98-8,Propanil,1.0,,,
2312-35-8,Propargite,1.0,,,
107-19-7,Propargyl alcohol,1.0,,,
31218-83-4,Propetamphos,1.0,,,
60207-90-1,Propiconazole,1.0,,,
57-57-8,beta-Propiolactone,0.1,,,
123-38-6,Propionaldehyde,1.0,,,
114-26-1,Propoxur,1.0,,,
115-07-1,Propylene,1.0,,,
75-55-8,Propyleneimine,0.1,,,
75-56-9,Propylene oxide,0.1,,,
110-86-1,Pyridine,0.1,,,
91-22-5,Quinoline,0.1,,,
106-51-4,Quinone,1.0,,,
82-68-8,Quintozene (Pentachloronitrobenzene),1.0,,,
76578-14-8,Quizalofop-ethyl,1.0,,,
10453-86-8,Resmethrin,1.0,,,
81-07-2,"Saccharin (only persons who manufacture are subject, no supplier notification)",1.0,,,
94-59-7,Safrole,0.1,,,
7782-49-2,Selenium,1.0,,,
74051-80-2,Sethoxydim,1.0,,,
7440-22-4,Silver,1.0,,,
122-34-9,Simazine,1.0,,,
26628-22-8,Sodium azide,1.0,,,
1982-69-0,Sodium dicamba,1.0,,,
128-04-1,Sodium dimethyldithiocarbamate,1.0,,,
62-74-8,Sodium fluoroacetate,1.0,,,
7632-00-0,Sodium nitrite,1.0,,,
131-52-2,Sodium pentachlorophenate,0.1,,,
132-27-4,Sodium o-phenylphenoxide,0.1,,,
100-42-5,Styrene,0.1,,,
96-09-3,Styrene oxide,0.1,,,
7664-93-9,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",1.0,,,Chemical qualifier: Reportable only in aerosol form as defined.
2699-79-8,Sulfuryl fluoride,1.0,,,
35400-43-2,Sulprofos,1.0,,,
34014-18-1,Tebuthiuron,1.0,,,
3383-96-8,Temephos,1.0,,,
5902-51-2,Terbacil,1.0,,,
79-94-7,Tetrabromobisphenol A,*,,,
630-20-6,"1,1,1,2-Tetrachloroethane",0.1,,,
79-34-5,"1,1,2,2-Tetrachloroethane",0.1,,,
127-18-4,Tetrachloroethylene,0.1,,,
354-11-0,"1,1,1,2-Tetrachloro-2-fluoroethane (HCFC-121a)",1.0,,,
354-14-3,"1,1,2,2-Tetrachloro-1-fluoroethane (HCFC-121)",1.0,,,
961-11-5,Tetrachlorvinphos,0.1,,,
64-75-5,Tetracycline hydrochloride,1.0,,,
116-14-3,Tetrafluoroethylene (Tetrafluoroethene),0.1,,,
7696-12-0,Tetramethrin,1.0,,,
140-66-9,"p-(1,1,3,3-Tetramethylbutyl)phenol",1.0,,,
509-14-8,Tetranitromethane,0.1,,,
7440-28-0,Thallium,1.0,,,
148-79-8,Thiabendazole,1.0,,,
62-55-5,Thioacetamide,0.1,,,
28249-77-6,Thiobencarb,1.0,,,
139-65-1,"4,4'-Thiodianiline",0.1,,,
59669-26-0,Thiodicarb,1.0,,,
23564-06-9,Thiophanate-ethyl,1.0,,,
23564-05-8,Thiophanate-methyl,1.0,,,
79-19-6,Thiosemicarbazide,1.0,,,
62-56-6,Thiourea,0.1,,,
137-26-8,Thiram,1.0,,,
1314-20-1,Thorium dioxide,1.0,,,
7550-45-0,Titanium tetrachloride,1.0,,,
108-88-3,Toluene,1.0,,,
584-84-9,"Toluene-2,4-diisocyanate",0.1,,,Isomer of: Toluene diisocyanate (mixed isomers) (26471-62-5)
91-08-7,"Toluene-2,6-diisocyanate",0.1,,,Isomer of: Toluene diisocyanate (mixed isomers) (26471-62-5)
26471-62-5,Toluene diisocyanate (mixed isomers),0.1,,,"Includes the following isomers: 
• Toluene-2,6-diisocyanate (91-08-7)
• Toluene-2,4-diisocyanate (584-84-9)"
95-53-4,o-Toluidine,0.1,,,
636-21-5,o-Toluidine hydrochloride,0.1,,,
8001-35-2,Toxaphene,*,,,
43121-43-3,Triadimefon,1.0,,,
2303-17-5,Triallate,1.0,,,
68-76-8,Triaziquone,1.0,,,
101200-48-0,Tribenuron-methyl,1.0,,,
1983-10-4,Tributyltin fluoride,1.0,,,
2155-70-6,Tributyltin methacrylate,1.0,,,
78-48-8,"S,S,S-Tributyltrithiophosphate (Tribufos)",1.0,,,
52-68-6,Trichlorfon,1.0,,,
76-02-8,Trichloroacetyl chloride,1.0,,,
87-61-6,"1,2,3-Trichlorobenzene",1.0,,,
120-82-1,"1,2,4-Trichlorobenzene",1.0,,,
71-55-6,"1,1,1-Trichloroethane",0.1,,,
79-00-5,"1,1,2-Trichloroethane",1.0,,,
79-01-6,Trichloroethylene,0.1,,,
75-69-4,Trichlorofluoromethane (CFC-11),1.0,,,
95-95-4,"2,4,5-Trichlorophenol",1.0,,,
88-06-2,"2,4,6-Trichlorophenol",0.1,,,
96-18-4,"1,2,3-Trichloropropane",0.1,,,
57213-69-1,Triclopyr-triethylammonium salt,1.0,,,
121-44-8,Triethylamine,1.0,,,
1582-09-8,Trifluralin,*,,,
26644-46-2,Triforine,1.0,,,
2451-62-9,Triglycidyl isocyanurate,1.0,,,
95-63-6,"1,2,4-Trimethylbenzene",1.0,,,
2655-15-4,"2,3,5-Trimethylphenyl methylcarbamate",1.0,,,
639-58-7,Triphenyltin chloride,1.0,,,
76-87-9,Triphenyltin hydroxide,1.0,,,
115-96-8,Tris(2-chloroethyl) phosphate,1.0,,,
126-72-7,"Tris(2,3-dibromopropyl) phosphate",0.1,,,
13674-87-8,"Tris(1,3-dichloro-2-propyl) phosphate",1.0,,,
25155-23-1,Tris(dimethylphenol) phosphate,1.0,,,
72-57-1,Trypan blue,0.1,,,
51-79-6,Urethane,0.1,,,
7440-62-2,Vanadium (except when contained in an alloy),1.0,,,Chemical qualifier: Not reportable when contained in an alloy.
50471-44-8,Vinclozolin,1.0,,,
108-05-4,Vinyl acetate,0.1,,,
593-60-2,Vinyl bromide,0.1,,,
75-01-4,Vinyl chloride,0.1,,,
75-02-5,Vinyl fluoride,0.1,,,
75-35-4,"Vinylidene chloride (1,1-Dichloroethylene)",0.1,,,
108-38-3,m-Xylene,1.0,,,Isomer of: Xylene (mixed isomers) (1330-20-7)
95-47-6,o-Xylene,1.0,,,Isomer of: Xylene (mixed isomers) (1330-20-7)
106-42-3,p-Xylene,1.0,,,Isomer of: Xylene (mixed isomers) (1330-20-7)
1330-20-7,Xylene (mixed isomers),1.0,,,"Includes the following isomers: 
• o-Xylene (95-47-6)
• p-Xylene (106-42-3)
• m-Xylene (108-38-3)"
87-62-7,"2,6-Xylidine",0.1,,,
7440-66-6,Zinc (fume or dust),1.0,,,Chemical qualifier: Reportable only in fume or dust form.
12122-67-7,Zineb,1.0,,,
N010,Antimony compounds,See notes,Includes any unique chemical substance that contains antimony as part of that chemical’s infrastructure. ,,
N020,Arsenic compounds,See notes,Includes any unique chemical substance that contains arsenic as part of that chemical’s infrastructure.,,
N040,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),1.0,Includes any unique chemical substance that contains barium as part of that chemical’s infrastructure.,,
N050,Beryllium compounds,0.1,Includes any unique chemical substance that contains beryllium as part of that chemical’s infrastructure.,,
N078,Cadmium compounds,0.1,Includes any unique chemical substance that contains cadmium as part of that chemical’s infrastructure.,,
N084,Chlorophenols,0.1,Defined by chemical structure. Phenol with Clx and H(5-x) where x = 1 to 5,,
N090,"Chromium compounds (except for chromite ore mined in the Transvaal Region of South Africa and the unreacted ore component of the chromite ore processing residue (COPR). COPR is the solid waste remaining after aqueous extraction of oxidized chromite ore that has been combined with soda ash and kiln roasted at approximately 2,000 °F.)",See notes,Includes any unique chemical substance that contains chromium as part of that chemical’s infrastructure.,,
N096,Cobalt compounds,See notes,Includes any unique chemical substance that contains cobalt as part of that chemical’s infrastructure.,,
N100,"Copper compounds (this category does not include copper phthalocyanine compounds that are substituted with only hydrogen, and/or chlorine, and/or bromine.)",1.0,Includes any unique chemical substance that contains copper as part of that chemical’s infrastructure.,,
N106,Cyanide compounds,1.0,"X+CN- where X+ = any group (except H+) where a formal dissociation can be made. For example, KCN or Ca(CN)2",,
N120,Diisocyanates (includes 20 specific compounds),1.0,"All members are listed below and marked as ""diisocyanate"" in column E",,
N125,Diisononyl phthalates (DINP),1.0,"This category includes branched alkyl di-esters of 1,2-benzenedicarboxylic acid in which alkyl ester moieties contain a total of nine carbons. This category includes but is not limited to the chemicals covered by the CAS numbers and names listed below and marked as ""DINP"" in column E",,
N150,Dioxin and dioxin-like compounds (Manufacturing; and the processing or otherwise use of dioxin and dioxin-like compounds if the dioxin and dioxin-like compounds are present as contaminants in a chemical and if they were created during the manufacturing of that chemical.) (includes 17 specific compounds),*,"All members are listed below and marked as ""dioxin"" in column E",,
N171,"Ethylenebisdithiocarbamic acid, salts and esters",1.0,Includes any unique chemical substance that contains an EBDC or an EBDC salt as part of that chemical’s infrastructure. ,,
N230,Certain glycol ethers,1.0,"R - (OCH2CH2)n - OR’ where: n = 1, 2, or 3; R = Alkyl C7 or less; or
R = phenyl or alkyl substituted phenyl; R’ = H or alkyl C7 or less; or
OR’ consisting of carboxylic acid ester, sulfate, phosphate, nitrate, or sulfonate.",,
N270,Hexabromocyclododecane (includes 2 specific compounds),*,"All members are listed below and marked as ""HBCD"" in column E",,
N420,Lead compounds,*,Includes any unique chemical substance that contains lead as part of that chemical’s infrastructure.,,
N450,Manganese compounds,1.0,Includes any unique chemical substance that contains manganese as part of that chemical’s infrastructure.,,
N458,Mercury compounds,*,Includes any unique chemical substance that contains mercury as part of that chemical’s infrastructure.,,
N495,Nickel compounds,0.1,Includes any unique chemical substance that contains nickel as part of that chemical’s infrastructure.,,
N503,Nicotine and salts,1.0,Includes any unique chemical substance that contains nicotine or a nicotine salt as part of that chemical’s infrastructure.,,
N511,Nitrate compounds (water dissociable; reportable only when in aqueous solution),1.0,,,Chemical qualifier: Reportable only when in aqueous solution.
N530,Nonylphenol (includes 6 specific compounds),1.0,"All members are listed below and marked as ""NP"" in column E",,
N535,Nonylphenol Ethoxylates (includes 13 specific compounds),1.0,"All members are listed below and marked as ""NPEs"" in column E",,
N575,Polybrominated biphenyls (PBBs),0.1,Defined by chemical structure. Biphenyl with Brx and H(10-x) where x = 1 to 10.,,
N583,Polychlorinated alkanes (C10 to C13),See notes,CxH2x-y+2Cly; Where x = 10 to 13; y = 3 to 12; and where the average chlorine content ranges from 40-70% with the limiting molecular formulas C10H19Cl3 and C13H16Cl12,,
N590,Polycyclic aromatic compounds (PACs) (includes 25 specific compounds),*,"All members are listed below and marked as ""PAC"" in column E",,
N725,Selenium compounds,1.0,Includes any unique chemical substance that contains selenium as part of that chemical’s infrastructure.,,
N740,Silver compounds,1.0,Includes any unique chemical substance that contains silver as part of that chemical’s infrastructure.,,
N746,Strychnine and salts,1.0,Includes any unique chemical substance that contains strychnine or a strychnine salt as part of that chemical’s infrastructure.,,
N760,Thallium compounds,1.0,Includes any unique chemical substance that contains thallium as part of that chemical’s infrastructure.,,
N770,Vanadium compounds,1.0,Includes any unique chemical substance that contains vanadium as part of that chemical's infrastructure.,,
N874,Warfarin and salts,1.0,Includes any unique chemical substance that contains warfarin or a warfarin salt as part of that chemical’s infrastructure.,,
N982,Zinc compounds,1.0,Includes any unique chemical substance that contains zinc as part of that chemical’s infrastructure.,,
56-55-3,Benz[a]anthracene,*,,PAC,
205-99-2,Benzo[b]fluoranthene,*,,PAC,
205-82-3,Benzo[j]fluoranthene,*,,PAC,
207-08-9,Benzo[k]fluoranthene,*,,PAC,
206-44-0,"Benzo[j,k]fluorene (Fluoranthene)",*,,PAC,
189-55-9,"Benzo[r,s,t]pentaphene (Dibenzo[a,i]pyrene)",*,,PAC,
218-01-9,Benzo[a]phenanthrene (Chrysene),*,,PAC,
50-32-8,Benzo[a]pyrene,*,,PAC,
226-36-8,"Dibenz[a,h]acridine",*,,PAC,
224-42-0,"Dibenz[a,j]acridine",*,,PAC,
53-70-3,"Dibenzo[a,h]anthracene (Dibenz[a,h]anthracene)",*,,PAC,
194-59-2,"7H-Dibenzo[c,g]carbazole",*,,PAC,
5385-75-1,"Dibenzo[a,e]fluoranthene",*,,PAC,
192-65-4,"Dibenzo[a,e]pyrene",*,,PAC,
189-64-0,"Dibenzo[a,h]pyrene",*,,PAC,
191-30-0,"Dibenzo[a,l]pyrene",*,,PAC,
57-97-6,"7,12-Dimethylbenz[a]anthracene",*,,PAC,
42397-64-8,"1,6-Dinitropyrene",*,,PAC,
42397-65-9,"1,8-Dinitropyrene",*,,PAC,
193-39-5,"Indeno[1,2,3-cd]pyrene",*,,PAC,
56-49-5,3-Methylcholanthrene,*,,PAC,
3697-24-3,5-Methylchrysene,*,,PAC,
7496-02-8,6-Nitrochrysene,*,,PAC,
5522-43-0,1-Nitropyrene,*,,PAC,
57835-92-4,4-Nitropyrene,*,,PAC,
38661-72-2,"1,3-Bis(methylisocyanate)cyclohexane",1.0,,Diisocyanate,
10347-54-3,"1,4-Bis(methylisocyanate)cyclohexane (1,4-Bis(isocyanatomethyl)cyclohexane)",1.0,,Diisocyanate,
2556-36-7,"1,4-Cyclohexane diisocyanate",1.0,,Diisocyanate,
134190-37-7,Diethyldiisocyanatobenzene,1.0,,Diisocyanate,
4128-73-8,"4,4'-Diisocyanatodiphenyl ether",1.0,,Diisocyanate,
75790-87-3,"2,4'-Diisocyanatodiphenyl sulfide",1.0,,Diisocyanate,
91-93-0,"3,3'-Dimethoxybenzidine-4,4'-diisocyanate",1.0,,Diisocyanate,
91-97-4,"3,3'-Dimethyl-4,4'-diphenylene diisocyanate",1.0,,Diisocyanate,
139-25-3,"3,3'-Dimethyldiphenylmethane-4,4'-diisocyanate",1.0,,Diisocyanate,
822-06-0,"Hexamethylene-1,6-diisocyanate",1.0,,Diisocyanate,
4098-71-9,Isophorone diisocyanate,1.0,,Diisocyanate,
75790-84-0,"4-Methyldiphenylmethane-3,4-diisocyanate",1.0,,Diisocyanate,
5124-30-1,"1,1-Methylenebis(4-isocyanatocyclohexane)",1.0,,Diisocyanate,
101-68-8,"4,4'-Methylenedi(phenyl isocyanate)",1.0,,Diisocyanate,
3173-72-6,"1,5-Naphthalene diisocyanate",1.0,,Diisocyanate,
123-61-5,"1,3-Phenylene diisocyanate",1.0,,Diisocyanate,
104-49-4,"1,4-Phenylene diisocyanate",1.0,,Diisocyanate,
9016-87-9,Polymeric diphenylmethane diisocyanate,1.0,,Diisocyanate,
16938-22-0,"2,2,4-Trimethylhexamethylene diisocyanate",1.0,,Diisocyanate,
15646-96-5,"2,4,4-Trimethylhexamethylene diisocyanate",1.0,,Diisocyanate,
111983-10-9,"Bis(3-ethylheptan-2-yl) benzene-1,2- dicarboxylate ",1.0,,DINP,
20548-62-3,Bis(7-methyloctyl) phthalate ,1.0,,DINP,
14103-61-8,"Bis(3,5,5-trimethylhexyl) phthalate ",1.0,,DINP,
71549-78-5,Branched dinonyl phthalate ,1.0,,DINP,
68515-48-0,"Di(C8–10, C9 rich) branched alkyl phthalates ",1.0,,DINP,
28553-12-0,Diisononyl phthalate ,1.0,,DINP,
1746-01-6,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",*,,Dioxin,
40321-76-4,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",*,,Dioxin,
39227-28-6,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",*,,Dioxin,
57653-85-7,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",*,,Dioxin,
19408-74-3,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",*,,Dioxin,
35822-46-9,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",*,,Dioxin,
3268-87-9,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin",*,,Dioxin,
51207-31-9,"2,3,7,8-Tetrachlorodibenzofuran",*,,Dioxin,
57117-41-6,"1,2,3,7,8-Pentachlorodibenzofuran",*,,Dioxin,
57117-31-4,"2,3,4,7,8-Pentachlorodibenzofuran",*,,Dioxin,
70648-26-9,"1,2,3,4,7,8-Hexachlorodibenzofuran",*,,Dioxin,
57117-44-9,"1,2,3,6,7,8-Hexachlorodibenzofuran",*,,Dioxin,
72918-21-9,"1,2,3,7,8,9-Hexachlorodibenzofuran",*,,Dioxin,
60851-34-5,"2,3,4,6,7,8-Hexachlorodibenzofuran",*,,Dioxin,
67562-39-4,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",*,,Dioxin,
55673-89-7,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",*,,Dioxin,
39001-02-0,"1,2,3,4,6,7,8,9-Octachlorodibenzofuran",*,,Dioxin,
104-40-5,4-Nonylphenol (p-Nonylphenol),1.0,,NP,
11066-49-2,Isononylphenol,1.0,,NP,
25154-52-3,Nonylphenol,1.0,,NP,
26543-97-5,4-Isononylphenol,1.0,,NP,
84852-15-3,"4-Nonylphenol, branched (Branched p-nonylphenol)",1.0,,NP,
90481-04-2,"Nonylphenol, branched",1.0,,NP,
7311-27-5,"Ethanol, 2-[2-[2-[2-(4-nonylphenoxy)ethoxy]ethoxy]ethoxy]-",1.0,,NPEs,
9016-45-9,"Poly(oxy-1,2-ethanediyl), _-(nonylphenyl)-_-hydroxy- (Polyethylene glycol nonylphenyl ether)",1.0,,NPEs,
20427-84-3,"Ethanol, 2-[2-(4-nonylphenoxy)ethoxy]- (2-[2-(4-Nonylphenoxy)ethoxy]ethanol)",1.0,,NPEs,
26027-38-3,"Poly(oxy-1,2-ethanediyl), _-(4-nonylphenyl)-_-hydroxy- (p-Nonylphenol polyethylene glycol ether)",1.0,,NPEs,
26571-11-9,"3,6,9,12,15,18,21,24-Octaoxahexacosan-1-ol, 26-(nonylphenoxy)-",1.0,,NPEs,
27176-93-8,"Ethanol, 2-[2-(nonylphenoxy)ethoxy]- (Diethylene glycol nonylphenol ether)",1.0,,NPEs,
27177-05-5,"3,6,9,12,15,18,21-Heptaoxatricosan-1-ol, 23-(nonylphenoxy)-",1.0,,NPEs,
27177-08-8,"3,6,9,12,15,18,21,24,27-Nonaoxanonacosan-1-ol, 29-(nonylphenoxy)-",1.0,,NPEs,
27986-36-3,"Ethanol, 2-(nonylphenoxy)- (2-(Nonylphenoxy)ethanol)",1.0,,NPEs,
37205-87-1,"Poly(oxy-1,2-ethanediyl), _-(isononylphenyl)-_-hydroxy-",1.0,,NPEs,
51938-25-1,"Poly(oxy-1,2-ethanediyl), _ (2-nonylphenyl)-_-hydroxy-",1.0,,NPEs,
68412-54-4,"Poly(oxy-1,2-ethanediyl), _-(nonylphenyl)-_-hydroxy-, branched (Polyethylene glycol mono(branched nonylphenyl) ether)",1.0,,NPEs,
127087-87-0,"Poly(oxy-1,2-ethanediyl), _-(4-nonylphenyl)-_-hydroxy-, branched (Polyethylene glycol mono(branched p-nonylphenyl) ether)",1.0,,NPEs,
3194-55-6,"1,2,5,6,9,10-Hexabromocyclododecane",*,,HBCD,
25637-99-4,Hexabromocyclododecane,*,,HBCD,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
